player_id,name,position,team,injury_status,fantasy_positions,adp,proj_points
7833,Isaiahh Loudermilk,DE,PIT,,['DL'],,
5364,Joshua Frazier,NT,,,['DL'],,
872,Mike Mohamed,LB,,,['LB'],,
2584,Austin Hill,WR,,,['WR'],,
551,Jeff Linkenbach,T,,,['OL'],,
7708,Marco Wilson,CB,CIN,Questionable,['DB'],,
6688,Johnny Gibson,G,,,['OL'],,
1295,Matthew Masifilo,G,,,['OL'],,
3173,Roger Goodell,,,,,,
6659,Craig Reynolds,RB,DET,,['RB'],,
5573,Greer Martini,OLB,,,['LB'],,
12108,Quinton Newsome,DB,DEN,,['DB'],,
887,Denarius Moore,WR,,,['WR'],,
8090,Daniel Crawford,TE,,,['TE'],,
7240,Kendall Futrell,DE,,,"['DL', 'LB']",,
10963,Jakorian Bennett,DB,LV,,['DB'],,
5344,Cornell Armstrong,DB,MIA,,['DB'],,
11594,Player Invalid,TE,,,['TE'],,
7168,Zane Lewis,CB,,,['DB'],,
3074,Cornelius Edison,C,,,['OL'],,
5731,Ruben Holcomb,G,,,['OL'],,
703,Kraig Urbik,C,,,['OL'],,
4770,Duplicate Player,WR,,Out,['WR'],,
257,Husain Abdullah,FS,,,['DB'],,
324,Eric Winston,G,,,['OL'],,
9228,Bryce Young,QB,CAR,,['QB'],,
12598,Jonah Savaiinaea,OL,MIA,,['OL'],,
4225,Tanner Vallejo,LB,,,['LB'],,
12487,Terrance Ferguson,TE,LAR,,['TE'],,
5727,Nick Thurman,DE,,,['DL'],,
3307,Joe Dahl,G,,,['OL'],,
8404,Ali Fayad,DL,,,['DL'],,
11198,Quavian White,CB,,,['DB'],,
8694,Henry Litwin,WR,,,['WR'],,
3272,Miles Killebrew,DB,PIT,,"['DB', 'LB']",,
6085,Jeff Allison,ILB,,,['LB'],,
7544,Player Invalid,RB,,,['RB'],,
11671,Olu Fashanu,OL,NYJ,,['OL'],,
5730,Mark Myers,CB,,,['DB'],,
DAL,Dallas Cowboys,DEF,DAL,,['DEF'],,
10221,Ronnie Bell,WR,DET,,['WR'],,
5087,JK Scott,P,LAC,,['P'],,
1327,Ronald Leary,G,,,['OL'],,
11441,Thomas Incoom,LB,CAR,,['LB'],,
6889,Colton McKivitz,OL,SF,,['OL'],,
7277,Jamir Jones,LB,,,['LB'],,
658,Mike Nugent,K,,,['K'],,
585,Austin Howard,T,,,['OL'],,
1880,Lorenzo Taliaferro,RB,,,['RB'],,
6195,Damon Sheehy-Guiseppi,WR,,,['WR'],,
1141,Melvin Ingram,LB,,,"['DL', 'LB']",,
279,Devin Hester,WR,,,['WR'],,
577,Danny McCray,SS,,,['DB'],,
4131,Kenny Golladay,WR,,,['WR'],,
5973,Josh Oliver,TE,MIN,,['TE'],,
12053,Tyreek Johnson,DE,,Questionable,['DL'],,
11464,McClendon Curtis,G,ARI,,['OT'],,
12041,Carl Jones,DL,CHI,,['DL'],,
11367,Daewood Davis,WR,,Questionable,['WR'],,
309,Tracy Porter,CB,,,['DB'],,
11688,Kris Jenkins,DL,CIN,,['DL'],,
2022,Daniel Sorensen,DB,,,['DB'],,
6870,Bryan Edwards,WR,,,['WR'],,
11461,George Tarlas,DE,,,['DL'],,
4206,Isaac Asiata,G,,,['OL'],,
8408,Jordan Mason,RB,MIN,,['RB'],,
12884,Quincy Skinner,WR,ATL,,['WR'],,
8226,Greg Bell,RB,,,['RB'],,
839,Cortez Allen,CB,,,['DB'],,
12163,Ryan Rehkow,P,CIN,,['P'],,
13020,Jayson Jones,DL,BAL,,['DL'],,
6158,Olisaemeka Udoh,G,TEN,,"['OL', 'OT']",,
3951,Justin Berger,WR,,,['WR'],,
7300,Jovahn Fair,G,,,['OL'],,
6228,Adarius Pickett,SS,,,['DB'],,
1826,Tyler Larsen,C,,Questionable,['OL'],,
12882,Nick Kubitz,LB,ATL,,['LB'],,
6632,Dan Godsil,LS,,,['LS'],,
5128,Logan Woodside,QB,,,['QB'],,
3627,Shaneil Jenkins,DE,,,['DL'],,
8936,Tyrell Ford,CB,,,['DB'],,
10869,Matt Landers,WR,TEN,,['WR'],,
