Player,position,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Cedric Tillman,WR,29,339,3,6,0,38,15,51.7,1,104,49
Christian Watson,WR,29,620,2,12,5,60,21,72.4,1,149,53
Kendrick Bourne,WR,28,305,1,2,0,37,13,46.4,0,94,38
Troy Franklin,WR,28,263,2,5,0,30,11,39.3,0,163,53
Jalen Nailor,WR,28,414,6,8,0,33,22,78.6,0,106,42
Samaje Perine,RB,28,322,1,5,0,36,16,57.1,0,313,35
Josh Whyle,TE,28,248,1,3,0,33,14,50,0,143,37
Christian Kirk,WR,27,379,1,7,1,61,18,66.7,0,113,47
Luke Schoonmaker,TE,27,241,1,3,0,24,11,40.7,0,97,36
Brandin Cooks,WR,26,259,3,3,0,29,19,73.1,0,55,54
Tyler Johnson,WR,26,291,1,4,1,63,10,38.5,0,180,41
Malik Washington,WR,26,223,0,2,0,20,13,50,0,123,36
Brandon Aiyuk,WR,25,374,0,5,1,53,20,80,0,92,47
Grant Calcaterra,TE,24,298,1,6,0,34,15,62.5,0,126,30
Van Jefferson,WR,24,276,2,4,1,43,12,50,0,78,40
Jaleel McLaughlin,RB,24,76,2,0,0,11,3,12.5,1,167,27
Rashee Rice,WR,24,288,2,3,1,44,15,62.5,0,186,29
Miles Sanders,RB,24,148,1,2,0,33,5,20.8,1,150,30
Antonio Gibson,RB,23,206,0,2,1,50,11,47.8,0,213,29
Taysom Hill,TE,23,187,0,2,0,34,8,34.8,1,137,31
Kareem Hunt,RB,23,176,0,1,0,26,10,43.5,0,216,32
Adonai Mitchell,WR,23,312,0,4,0,36,16,69.6,1,96,55
Zack Moss,RB,23,187,1,1,0,21,11,47.8,0,194,27
Tommy Tremble,TE,23,234,2,2,0,38,12,52.2,1,125,32
Dawson Knox,TE,22,311,1,7,0,39,12,54.6,0,94,33
Josh Oliver,TE,22,258,3,5,0,28,14,63.6,0,129,28
Justin Watson,WR,22,289,2,2,1,49,13,59.1,0,68,32
Jordan Whittington,WR,22,293,0,4,1,50,14,63.6,0,180,28
