scenario_id,variant,model,points_change_A,points_change_B,fit_change_A,fit_change_B,mutual_benefit,trade_balance,offer_value,ask_value,tom_keywords,perspective_taking,need_analysis,mutual_consideration,reasoning_depth,total_tom_score,reasoning_length,team_a_mentions,team_b_mentions,team_balance,justification_score,specific_benefits
21,baseline,gpt-4o,-11.699999999999989,11.699999999999989,-0.009399009398514235,-0.008515791516317428,0,0.6785714285714285,30.240000000000002,20.52,1,0,0,0,1,2,50,2,1,0.3333333333333333,2,0
21,baseline,claude-3.5-sonnet,1.0999999999999943,-1.099999999999966,0.0,0.0,1,0.9770212765957447,34.44,35.25,0,0,1,0,0,1,24,0,0,0.0,2,0
21,baseline,gemini-2.5-pro,-0.09999999999999432,0.10000000000002274,0.0,0.0,1,0.9817073170731708,34.44,33.81,1,1,1,0,1,4,80,1,2,0.3333333333333333,4,0
22,tom,gpt-4o,-12.300000000000011,12.300000000000011,-0.0020711102661086223,-0.0016963540627906726,0,0.6252100840336134,35.7,22.32,1,2,0,1,0,4,79,3,3,0.5,2,1
22,tom,claude-3.5-sonnet,10.0,-10.0,-0.0020711102661086223,-0.0016963540627906726,0,0.676997578692494,27.96,41.3,4,1,0,1,0,6,61,2,3,0.4,3,0
22,tom,gemini-2.5-pro,-5.599999999999994,5.599999999999966,-0.005603937351035038,-0.006187976696630071,0,0.8643011917659804,36.92,31.909999999999997,3,1,0,1,0,5,106,4,3,0.42857142857142855,2,1
22,baseline,gpt-4o,-12.300000000000011,12.300000000000011,-0.0020711102661086223,-0.0016963540627906726,0,0.6252100840336134,35.7,22.32,1,0,0,0,0,1,52,2,1,0.3333333333333333,2,0
22,baseline,claude-3.5-sonnet,0.09999999999999432,-0.10000000000002274,0.0,0.0,1,0.9947890401748194,59.18,59.489999999999995,0,0,0,0,0,0,69,2,0,0.0,2,1
22,baseline,gemini-2.5-pro,-2.0,2.0,-0.005603937351035038,-0.006187976696630071,0,0.9658536585365856,16.4,15.840000000000002,2,0,0,0,1,3,55,2,1,0.3333333333333333,2,0
23,tom,gpt-4o,-1.5,1.5,-0.0020711102661086223,-0.0016963540627906726,1,0.9373961218836564,18.05,16.919999999999998,3,1,1,1,1,7,79,3,3,0.5,2,0
23,tom,claude-3.5-sonnet,-4.900000000000034,4.900000000000034,-0.0029455144984184,-0.0026662764084344204,0,0.8247237214083781,38.910000000000004,32.089999999999996,2,1,1,1,0,5,78,1,2,0.3333333333333333,4,1
23,tom,gemini-2.5-pro,0.6999999999999886,-0.6999999999999886,0.0,0.0,1,0.9370850458425545,29.64,31.630000000000003,4,0,0,1,1,6,89,2,1,0.3333333333333333,3,0
23,baseline,gpt-4o,-1.5,1.5,-0.0020711102661086223,-0.0016963540627906726,1,0.9373961218836564,18.05,16.919999999999998,0,0,1,0,0,1,45,3,0,0.0,3,0
23,baseline,claude-3.5-sonnet,-4.5,4.5,0.0,0.0,0,0.8591700133868807,37.35,32.089999999999996,1,0,0,0,0,1,57,3,0,0.0,2,1
23,baseline,gemini-2.5-pro,-1.8000000000000114,1.8000000000000114,-0.01227040335041052,-0.01227040335041052,0,0.8771473191046331,33.7,38.42,1,0,1,0,0,2,59,1,1,0.5,3,0
24,tom,gpt-4o,-5.599999999999994,5.599999999999994,-0.0020711102661086223,-0.0016963540627906726,0,0.7703383729301655,27.78,21.4,1,1,0,0,0,2,58,2,2,0.5,2,0
24,tom,claude-3.5-sonnet,3.700000000000017,-3.700000000000017,0.0,0.0,0,0.8895384615384615,28.91,32.5,6,0,1,3,0,10,71,1,0,0.0,4,0
24,tom,gemini-2.5-pro,-5.900000000000006,5.900000000000006,-0.006192010000093506,-0.006192010000093506,0,0.926747311827957,29.759999999999998,27.58,3,0,0,1,0,4,92,1,1,0.5,2,0
24,baseline,gpt-4o,4.900000000000006,-4.900000000000006,0.0,0.0,0,0.8454545454545455,29.759999999999998,35.199999999999996,0,1,0,0,0,1,45,1,1,0.5,2,0
24,baseline,claude-3.5-sonnet,-1.4000000000000057,1.4000000000000057,0.0,0.0,1,0.9600997506234413,56.14,53.9,1,0,0,0,0,1,50,0,0,0.0,4,0
24,baseline,gemini-2.5-pro,1.700000000000017,-1.700000000000017,-0.00728913558116262,-0.008882991181128008,1,0.7646356033452808,19.2,25.11,2,1,0,0,1,4,64,1,1,0.5,2,1
25,tom,gpt-4o,-2.6000000000000227,2.6000000000000227,-0.0020711102661086223,-0.0016963540627906726,0,0.8652037617554859,19.14,16.56,4,0,1,1,0,6,108,4,3,0.42857142857142855,2,0
25,tom,claude-3.5-sonnet,1.5999999999999943,-1.599999999999966,0.0,0.0,1,0.9735077129443327,29.03,29.82,5,1,0,1,0,7,110,3,3,0.5,2,1
